"Area.Abbreviation","Area.Code","Area","Item.Code","Item","Element.Code","Element","Unit","latitude","longitude","Year","Value","El_Nino_Year"
"AUS",10,"Australia",2511,"Wheat and products",5142,"Food","1000 tonnes",-25.27,133.78,"Y1961",1032,FALSE
"AUS",10,"Australia",2511,"Wheat and products",5142,"Food","1000 tonnes",-25.27,133.78,"Y1962",1084,FALSE
"AUS",10,"Australia",2511,"Wheat and products",5142,"Food","1000 tonnes",-25.27,133.78,"Y1963",1122,FALSE
"AUS",10,"Australia",2511,"Wheat and products",5142,"Food","1000 tonnes",-25.27,133.78,"Y1964",1103,FALSE
"AUS",10,"Australia",2511,"Wheat and products",5142,"Food","1000 tonnes",-25.27,133.78,"Y1965",1060,TRUE
"AUS",10,"Australia",2511,"Wheat and products",5142,"Food","1000 tonnes",-25.27,133.78,"Y1966",1196,TRUE
"AUS",10,"Australia",2511,"Wheat and products",5142,"Food","1000 tonnes",-25.27,133.78,"Y1967",1222,FALSE
"AUS",10,"Australia",2511,"Wheat and products",5142,"Food","1000 tonnes",-25.27,133.78,"Y1968",1215,FALSE
"AUS",10,"Australia",2511,"Wheat and products",5142,"Food","1000 tonnes",-25.27,133.78,"Y1969",1227,FALSE
"AUS",10,"Australia",2511,"Wheat and products",5142,"Food","1000 tonnes",-25.27,133.78,"Y1970",1237,FALSE
"AUS",10,"Australia",2511,"Wheat and products",5142,"Food","1000 tonnes",-25.27,133.78,"Y1971",1218,FALSE
"AUS",10,"Australia",2511,"Wheat and products",5142,"Food","1000 tonnes",-25.27,133.78,"Y1972",1258,TRUE
"AUS",10,"Australia",2511,"Wheat and products",5142,"Food","1000 tonnes",-25.27,133.78,"Y1973",1152,TRUE
"AUS",10,"Australia",2511,"Wheat and products",5142,"Food","1000 tonnes",-25.27,133.78,"Y1974",1225,FALSE
"AUS",10,"Australia",2511,"Wheat and products",5142,"Food","1000 tonnes",-25.27,133.78,"Y1975",1174,FALSE
"AUS",10,"Australia",2511,"Wheat and products",5142,"Food","1000 tonnes",-25.27,133.78,"Y1976",1218,FALSE
"AUS",10,"Australia",2511,"Wheat and products",5142,"Food","1000 tonnes",-25.27,133.78,"Y1977",1191,FALSE
"AUS",10,"Australia",2511,"Wheat and products",5142,"Food","1000 tonnes",-25.27,133.78,"Y1978",1096,FALSE
"AUS",10,"Australia",2511,"Wheat and products",5142,"Food","1000 tonnes",-25.27,133.78,"Y1979",1156,FALSE
"AUS",10,"Australia",2511,"Wheat and products",5142,"Food","1000 tonnes",-25.27,133.78,"Y1980",1186,FALSE
"AUS",10,"Australia",2511,"Wheat and products",5142,"Food","1000 tonnes",-25.27,133.78,"Y1981",1220,FALSE
"AUS",10,"Australia",2511,"Wheat and products",5142,"Food","1000 tonnes",-25.27,133.78,"Y1982",1250,TRUE
"AUS",10,"Australia",2511,"Wheat and products",5142,"Food","1000 tonnes",-25.27,133.78,"Y1983",1229,TRUE
"AUS",10,"Australia",2511,"Wheat and products",5142,"Food","1000 tonnes",-25.27,133.78,"Y1984",1316,FALSE
"AUS",10,"Australia",2511,"Wheat and products",5142,"Food","1000 tonnes",-25.27,133.78,"Y1985",1282,FALSE
"AUS",10,"Australia",2511,"Wheat and products",5142,"Food","1000 tonnes",-25.27,133.78,"Y1986",1152,FALSE
"AUS",10,"Australia",2511,"Wheat and products",5142,"Food","1000 tonnes",-25.27,133.78,"Y1987",1187,TRUE
"AUS",10,"Australia",2511,"Wheat and products",5142,"Food","1000 tonnes",-25.27,133.78,"Y1988",1259,TRUE
"AUS",10,"Australia",2511,"Wheat and products",5142,"Food","1000 tonnes",-25.27,133.78,"Y1989",1210,FALSE
"AUS",10,"Australia",2511,"Wheat and products",5142,"Food","1000 tonnes",-25.27,133.78,"Y1990",1201,FALSE
"AUS",10,"Australia",2511,"Wheat and products",5142,"Food","1000 tonnes",-25.27,133.78,"Y1991",1253,TRUE
"AUS",10,"Australia",2511,"Wheat and products",5142,"Food","1000 tonnes",-25.27,133.78,"Y1992",1193,TRUE
"AUS",10,"Australia",2511,"Wheat and products",5142,"Food","1000 tonnes",-25.27,133.78,"Y1993",1234,FALSE
"AUS",10,"Australia",2511,"Wheat and products",5142,"Food","1000 tonnes",-25.27,133.78,"Y1994",1320,FALSE
"AUS",10,"Australia",2511,"Wheat and products",5142,"Food","1000 tonnes",-25.27,133.78,"Y1995",1416,FALSE
