"Year","Month","Date","GTA","Nino1.2SST","Nino1.2SSTAnomalies","Nino3SST","Nino3SSTAnomalies","Nino3.4SST","Nino3.4SSTAnomalies","Nino4SST","Nino4SSTAnomalies","TNI","PNA","OLR","SOI","Season.2.Month.","MEI.v2","Season.3.Month.","ONI","Season.12.Month.","ENSO","SUBDIVISION","Precipitation"
1950,"APR","4/1/1950",-0.16,NA,NA,NA,NA,NA,NA,NA,NA,0.311,-0.23,NA,NA,"MA",NA,"MAM",-1.2,"1950-1951","ML","West Madhya Pradesh",0.3
1950,"APR","4/1/1950",-0.16,NA,NA,NA,NA,NA,NA,NA,NA,0.311,-0.23,NA,NA,"MA",NA,"MAM",-1.2,"1950-1951","ML","Assam & Meghalaya",112.9
1950,"APR","4/1/1950",-0.16,NA,NA,NA,NA,NA,NA,NA,NA,0.311,-0.23,NA,NA,"MA",NA,"MAM",-1.2,"1950-1951","ML","West Uttar Pradesh",0.7
1950,"APR","4/1/1950",-0.16,NA,NA,NA,NA,NA,NA,NA,NA,0.311,-0.23,NA,NA,"MA",NA,"MAM",-1.2,"1950-1951","ML","Rayalseema",0.7
1950,"APR","4/1/1950",-0.16,NA,NA,NA,NA,NA,NA,NA,NA,0.311,-0.23,NA,NA,"MA",NA,"MAM",-1.2,"1950-1951","ML","East Uttar Pradesh",0.2
1950,"APR","4/1/1950",-0.16,NA,NA,NA,NA,NA,NA,NA,NA,0.311,-0.23,NA,NA,"MA",NA,"MAM",-1.2,"1950-1951","ML","Tamil Nadu",11.8
1950,"APR","4/1/1950",-0.16,NA,NA,NA,NA,NA,NA,NA,NA,0.311,-0.23,NA,NA,"MA",NA,"MAM",-1.2,"1950-1951","ML","Naga Mani Mizo Tripura",87.8
1950,"APR","4/1/1950",-0.16,NA,NA,NA,NA,NA,NA,NA,NA,0.311,-0.23,NA,NA,"MA",NA,"MAM",-1.2,"1950-1951","ML","Arunachal Pradesh",425.2
1950,"APR","4/1/1950",-0.16,NA,NA,NA,NA,NA,NA,NA,NA,0.311,-0.23,NA,NA,"MA",NA,"MAM",-1.2,"1950-1951","ML","Uttarakhand",2.7
1950,"APR","4/1/1950",-0.16,NA,NA,NA,NA,NA,NA,NA,NA,0.311,-0.23,NA,NA,"MA",NA,"MAM",-1.2,"1950-1951","ML","Saurashtra & Kutch",0
