"Year","Month","Date","GTA","Nino1.2SST","Nino1.2SSTAnomalies","Nino3SST","Nino3SSTAnomalies","Nino3.4SST","Nino3.4SSTAnomalies","Nino4SST","Nino4SSTAnomalies","TNI","PNA","OLR","SOI","Season.2.Month.","MEI.v2","Season.3.Month.","ONI","Season.12.Month.","ENSO","Time","Temp","Temp_Uncertainty","Country"
1950,"APR","4/1/1950",-0.16,NA,NA,NA,NA,NA,NA,NA,NA,0.311,-0.23,NA,NA,"MA",NA,"MAM",-1.2,"1950-1951","ML","1950-04-01",27.13,0.246,"India"
1950,"AUG","8/1/1950",-0.09,NA,NA,NA,NA,NA,NA,NA,NA,0.316,0.79,NA,NA,"JA",NA,"JAS",-0.4,"1950-1951","ML","1950-08-01",26.194,0.233,"India"
1950,"DEC","12/1/1950",-0.12,NA,NA,NA,NA,NA,NA,NA,NA,1.239,-0.28,NA,NA,"ND",NA,"NDJ",-0.8,"1950-1951","ML","1950-12-01",16.582,0.174,"India"
1950,"FEB","2/1/1950",-0.26,NA,NA,NA,NA,NA,NA,NA,NA,0.445,-1.69,NA,NA,"JF",NA,"JFM",-1.3,"1950-1951","ML","1950-02-01",18.305,0.148,"India"
1950,"JAN","1/1/1950",-0.2,NA,NA,NA,NA,NA,NA,NA,NA,0.624,-3.65,NA,NA,"DJ",NA,"DJF",-1.5,"1950-1951","ML","1950-01-01",17.318,0.12,"India"
1950,"JUL","7/1/1950",-0.09,NA,NA,NA,NA,NA,NA,NA,NA,0.293,-0.82,NA,NA,"JJ",NA,"JJA",-0.5,"1950-1951","ML","1950-07-01",26.582,0.16,"India"
1950,"JUN","6/1/1950",-0.02,NA,NA,NA,NA,NA,NA,NA,NA,0.213,-1.99,NA,NA,"MJ",NA,"MJJ",-0.9,"1950-1951","ML","1950-06-01",29.23,0.165,"India"
1950,"MAR","3/1/1950",-0.08,NA,NA,NA,NA,NA,NA,NA,NA,0.382,-0.06,NA,NA,"FM",NA,"FMA",-1.2,"1950-1951","ML","1950-03-01",22.933,0.214,"India"
1950,"MAY","5/1/1950",-0.02,NA,NA,NA,NA,NA,NA,NA,NA,0.124,-0.4,NA,NA,"AM",NA,"AMJ",-1.1,"1950-1951","ML","1950-05-01",30.267,0.248,"India"
1950,"NOV","11/1/1950",-0.25,NA,NA,NA,NA,NA,NA,NA,NA,0.993,-1.74,NA,NA,"ON",NA,"OND",-0.6,"1950-1951","ML","1950-11-01",19.818,0.236,"India"
1950,"OCT","10/1/1950",-0.14,NA,NA,NA,NA,NA,NA,NA,NA,0.69,0.7,NA,NA,"SO",NA,"SON",-0.4,"1950-1951","ML","1950-10-01",23.842,0.155,"India"
1950,"SEP","9/1/1950",-0.06,NA,NA,NA,NA,NA,NA,NA,NA,0.564,-1,NA,NA,"AS",NA,"ASO",-0.4,"1950-1951","ML","1950-09-01",25.711,0.088,"India"
1951,"APR","4/1/1951",-0.09,NA,NA,NA,NA,NA,NA,NA,NA,1.457,0.47,NA,-0.3,"MA",NA,"MAM",0.2,"1951-1952","ME","1951-04-01",26.345,0.205,"India"
1951,"AUG","8/1/1951",0.11,NA,NA,NA,NA,NA,NA,NA,NA,1.493,0.02,NA,-0.2,"JA",NA,"JAS",0.9,"1951-1952","ME","1951-08-01",26.548,0.098,"India"
1951,"DEC","12/1/1951",0.21,NA,NA,NA,NA,NA,NA,NA,NA,0.294,-1.59,NA,-0.7,"ND",NA,"NDJ",0.8,"1951-1952","ME","1951-12-01",17.501,0.142,"India"
1951,"FEB","2/1/1951",-0.37,NA,NA,NA,NA,NA,NA,NA,NA,1.461,-2.11,NA,0.9,"JF",NA,"JFM",-0.5,"1951-1952","ME","1951-02-01",19.315,0.214,"India"
1951,"JAN","1/1/1951",-0.31,NA,NA,NA,NA,NA,NA,NA,NA,1.315,-1.18,NA,1.5,"DJ",NA,"DJF",-0.8,"1951-1952","ME","1951-01-01",16.331,0.325,"India"
1951,"JUL","7/1/1951",0.1,NA,NA,NA,NA,NA,NA,NA,NA,1.521,-0.44,NA,-1,"JJ",NA,"JJA",0.7,"1951-1952","ME","1951-07-01",27.47,0.25,"India"
1951,"JUN","6/1/1951",0.03,NA,NA,NA,NA,NA,NA,NA,NA,1.627,-0.54,NA,0.2,"MJ",NA,"MJJ",0.6,"1951-1952","ME","1951-06-01",29.103,0.385,"India"
1951,"MAR","3/1/1951",-0.16,NA,NA,NA,NA,NA,NA,NA,NA,1.59,-1.09,NA,-0.1,"FM",NA,"FMA",-0.2,"1951-1952","ME","1951-03-01",23.841,0.157,"India"
1951,"MAY","5/1/1951",0.04,NA,NA,NA,NA,NA,NA,NA,NA,1.615,1.19,NA,-0.7,"AM",NA,"AMJ",0.4,"1951-1952","ME","1951-05-01",29.826,0.281,"India"
1951,"NOV","11/1/1951",0.03,NA,NA,NA,NA,NA,NA,NA,NA,0.492,0.21,NA,-0.8,"ON",NA,"OND",1,"1951-1952","ME","1951-11-01",21.601,0.309,"India"
1951,"OCT","10/1/1951",0.13,NA,NA,NA,NA,NA,NA,NA,NA,0.799,0.43,NA,-1,"SO",NA,"SON",1.2,"1951-1952","ME","1951-10-01",26.005,0.189,"India"
1951,"SEP","9/1/1951",0.17,NA,NA,NA,NA,NA,NA,NA,NA,1.255,-0.08,NA,-1.1,"AS",NA,"ASO",1,"1951-1952","ME","1951-09-01",26.762,0.338,"India"
1952,"APR","4/1/1952",0.07,NA,NA,NA,NA,NA,NA,NA,NA,-0.374,0.89,NA,-0.2,"MA",NA,"MAM",0.3,"1952-1953","WE","1952-04-01",28.295,0.207,"India"
1952,"AUG","8/1/1952",0.06,NA,NA,NA,NA,NA,NA,NA,NA,-0.703,0.77,NA,0.1,"JA",NA,"JAS",0,"1952-1953","WE","1952-08-01",26.085,0.153,"India"
1952,"DEC","12/1/1952",0.05,NA,NA,NA,NA,NA,NA,NA,NA,-0.167,0.63,NA,-1.2,"ND",NA,"NDJ",0.2,"1952-1953","WE","1952-12-01",17.947,0.255,"India"
1952,"FEB","2/1/1952",0.11,NA,NA,NA,NA,NA,NA,NA,NA,-0.293,0.08,NA,-0.6,"JF",NA,"JFM",0.4,"1952-1953","WE","1952-02-01",20.749,0.099,"India"
1952,"JAN","1/1/1952",0.14,NA,NA,NA,NA,NA,NA,NA,NA,0.168,-3.19,NA,-0.9,"DJ",NA,"DJF",0.5,"1952-1953","WE","1952-01-01",17.707,0.196,"India"
1952,"JUL","7/1/1952",0.07,NA,NA,NA,NA,NA,NA,NA,NA,-0.702,-1.57,NA,0.5,"JJ",NA,"JJA",-0.1,"1952-1953","WE","1952-07-01",27.036,0.258,"India"
1952,"JUN","6/1/1952",0.05,NA,NA,NA,NA,NA,NA,NA,NA,-0.718,0.53,NA,0.7,"MJ",NA,"MJJ",0,"1952-1953","WE","1952-06-01",29.302,0.136,"India"
1952,"MAR","3/1/1952",-0.03,NA,NA,NA,NA,NA,NA,NA,NA,-0.368,-0.69,NA,0.5,"FM",NA,"FMA",0.3,"1952-1953","WE","1952-03-01",23.39,0.133,"India"
1952,"MAY","5/1/1952",0.08,NA,NA,NA,NA,NA,NA,NA,NA,-0.567,-0.79,NA,0.8,"AM",NA,"AMJ",0.2,"1952-1953","WE","1952-05-01",30.426,0.197,"India"
